group	chao	shannon	cow	type	lact_period	eff_inoc	donor
HE_I_6_2	2071.577093	5.947742	HE	I	.	HE	Y
HE_I_6_21	2949.56044	5.927148	HE	I	.	HE	Y
HE_I_6_23	2237.621739	5.871356	HE	I	.	HE	Y
HE_I_6_26	2163.009615	5.61688	HE	I	.	HE	Y
HE_I_6_30	3754.848592	5.99425	HE	I	.	HE	Y
HE_I_6_5	3683.383333	6.14058	HE	I	.	HE	Y
HE_I_6_7	3125.081761	5.829678	HE	I	.	HE	Y
HE_I_7_12	2470.892193	5.86576	HE	I	.	HE	Y
HE_I_7_14	2842.090909	5.505038	HE	I	.	HE	Y
HE_I_7_19	2850.511905	5.986535	HE	I	.	HE	Y
HE_I_7_24	2732.539604	5.726318	HE	I	.	HE	Y
HE_I_7_26	1845.50303	5.733164	HE	I	.	HE	Y
HE_I_7_28	3032.124567	6.206718	HE	I	.	HE	Y
HE_I_7_3	3778.321918	5.742621	HE	I	.	HE	Y
HE_I_7_5	2430.827586	5.583278	HE	I	.	HE	Y
HE_I_7_7	3288.087719	5.939341	HE	I	.	HE	Y
HE_I_8_11	2649	6.214348	HE	I	.	HE	Y
HE_I_8_16	2815.914286	6.006303	HE	I	.	HE	Y
HE_I_8_2	1887.040609	5.71798	HE	I	.	HE	Y
HE_I_8_21	3623.217391	6.074959	HE	I	.	HE	Y
HE_I_8_23	2262.710769	5.943534	HE	I	.	HE	Y
HE_I_8_25	2628.230469	6.098178	HE	I	.	HE	Y
HE_I_8_9	3237.855856	6.205217	HE	I	.	HE	Y
HE_I_9_1	2535.121951	6.030972	HE	I	.	HE	Y
HE_I_9_6	2607.409253	6.183058	HE	I	.	HE	Y
HE_L_1_27	2573.821429	5.868664	HE	L	.	HE	Y
HE_L_2_1	2671.147959	5.699467	HE	L	.	HE	Y
HE_L_2_10	1409.230769	4.994213	HE	L	.	HE	Y
HE_L_2_15	2453.38843	4.913285	HE	L	.	HE	Y
HE_L_3_01	2700.076923	5.519527	HE	L	.	HE	Y
HE_L_3_10	3529.914591	6.138145	HE	L	.	HE	Y
HE_L_3_15	2625.928144	5.752846	HE	L	.	HE	Y
HE_L_5_5	2476.400685	5.612864	HE	L	.	HE	Y
HE_L_6_5	2287.760563	5.75407	HE	L	.	HE	Y
HE_L_7_21	2051.879464	5.552685	HE	L	.	HE	Y
HE_S_1_27	2061.810127	5.975562	HE	S	.	HE	Y
HE_S_2_1	2046.214008	6.044286	HE	S	.	HE	Y
HE_S_2_10	2066.358268	6.09777	HE	S	.	HE	Y
HE_S_2_15	2361.210526	6.16842	HE	S	.	HE	Y
HE_S_3_1	3071.833333	6.21333	HE	S	.	HE	Y
